,RMSE,MAE,R2,MAPE
LinearRegression,1872798951.2851365,1279111394.6655672,-0.5564586686571906,116.12465446889438
RandomForest,1666362888.9837427,1007612300.0439001,-0.23223757474186701,64.48091437518613
XGBoost,1552160561.8120208,891507745.8333334,-0.06912520049004334,39.368529119188736
Prophet,2057655321.7180636,1409226920.0620105,-0.878886444369287,96.53401277183681
